기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,당월_매출_금액,당월_매출_건수,점포수,당월_매출금액/점포수,당월_매출건수/점포수,총_유동인구_수,총_직장_인구_수,총 상주인구 수,아파트_단지_수,아파트_평균_면적,아파트_평균_시가,시군구_코드
2020,2,U,관광특구,1001495,잠실 관광특구,LL,다이나믹,104,53,154618103600.0,6013108,1923,80404630.0572023,3126.941237649506,3026454,24375,8221,22,89,527347107,11710
2020,2,U,관광특구,1001494,종로?청계 관광특구,HH,정체,148,72,259239790301.0,7588063,5082,51011371.56650925,1493.125344352617,4033679,32935,1924,5,39,112097903,11110
2020,2,U,관광특구,1001493,동대문패션타운 관광특구,HH,정체,122,61,246945006692.0,8631823,13175,18743454.01836812,655.1668311195446,3262023,6054,2427,8,53,237967427,11140
2020,2,U,관광특구,1001491,이태원 관광특구,HH,정체,121,60,74248773015.0,2643794,1580,46992894.31329114,1673.2873417721519,1475296,5839,5176,71,82,409473123,11170
2020,2,R,전통시장,1001490,길동복조리시장,HL,상권축소,114,48,15694318590.0,793668,237,66220753.5443038,3348.8101265822784,868848,430,3097,37,62,183067389,11740
2020,2,R,전통시장,1001489,둔촌역전통시장,HL,상권축소,128,46,19673912233.0,1032372,235,83718775.45957446,4393.072340425532,241170,224,595,8,63,195748977,11740
2020,2,R,전통시장,1001488,성내골목시장,LL,다이나믹,103,46,4864851659.0,252405,93,52310232.89247312,2714.032258064516,677940,30,1023,11,44,148468044,11740
2020,2,R,전통시장,1001486,동서울시장,HH,정체,165,104,1953555157.0,32461,5,390711031.4,6492.2,69080,5,170,1,45,176000000,11740
2020,2,R,전통시장,1001484,양지골목시장,HH,정체,114,57,3966405054.0,144776,52,76277020.26923077,2784.153846153846,83145,60,842,17,55,181813715,11740
2020,2,R,전통시장,1001483,암사종합시장,LL,다이나믹,105,53,15659571452.0,948110,173,90517754.05780347,5480.404624277457,350321,95,800,18,46,143664435,11740
2020,2,R,전통시장,1001482,고덕전통시장,LH,상권확장,108,62,9624004505.0,643313,67,143641858.2835821,9601.686567164179,201319,935,288,1,41,155000000,11740
2020,2,R,전통시장,1001481,명일골목시장,HL,상권축소,125,51,5572918679.0,298683,76,73327877.35526316,3930.0394736842104,200188,89,1952,4,61,223508784,11740
2020,2,R,전통시장,1001480,새마을시장,LL,다이나믹,107,53,19903253784.0,841491,294,67698142.12244898,2862.214285714286,827462,208,2314,44,40,209797797,11710
2020,2,R,전통시장,1001479,석촌시장,LL,다이나믹,98,53,13358706095.0,571315,119,112258034.41176471,4800.966386554622,464170,286,803,13,43,233575425,11710
2020,2,R,전통시장,1001478,방이시장,LL,다이나믹,110,52,19087909694.0,1081700,325,58732029.82769231,3328.3076923076924,1085237,3469,5119,174,49,205632867,11710
2020,2,R,전통시장,1001477,마천시장,HH,정체,124,58,11969452247.0,561971,203,58962818.950738914,2768.330049261084,404385,102,947,6,57,195932239,11710
2020,2,R,전통시장,1001476,풍납시장,HL,상권축소,120,48,4483989335.0,309336,70,64056990.5,4419.085714285714,540027,51,2104,20,55,153329405,11710
2020,2,R,전통시장,1001474,도곡시장,HH,정체,129,56,11627356469.0,593966,77,151004629.46753246,7713.8441558441555,284809,57,241,1,67,639223684,11680
2020,2,R,전통시장,1001472,논현종합시장,HH,정체,124,56,3596760095.0,4401,3,1198920031.6666667,1467.0,42987,85,85,3,115,512515152,11680
2020,2,R,전통시장,1001471,영동전통시장,LL,다이나믹,102,50,32901051540.0,1443445,201,163686823.58208954,7181.318407960199,437583,242,1169,18,43,226552606,11680
2020,2,R,전통시장,1001470,강남시장_강남,LH,상권확장,98,59,2202632696.0,85993,42,52443635.61904762,2047.452380952381,46984,58,260,1,95,359478723,11680
2020,2,R,전통시장,1001469,양재시장,HH,정체,121,55,3076669706.0,179453,39,78888966.82051282,4601.358974358975,54532,35,104,2,42,185226190,11650
2020,2,R,전통시장,1001468,남부종합시장,HL,상권축소,133,50,215526420.0,9521,19,11343495.789473685,501.10526315789474,78774,85,147,3,53,299250000,11650
2020,2,R,전통시장,1001466,미성동도깨비시장,LH,상권확장,104,55,4390822685.0,222740,95,46219186.15789474,2344.6315789473683,232855,75,627,3,66,179668193,11620
2020,2,R,전통시장,1001463,신림중앙시장,HL,상권축소,137,52,1356503081.0,72682,24,56520961.708333336,3028.4166666666665,55194,43,62,3,42,184383476,11620
2020,2,R,전통시장,1001462,강남골목시장,LL,다이나믹,101,51,4701704201.0,312509,39,120556517.97435898,8013.051282051282,290023,168,574,5,46,145078889,11620
2020,2,R,전통시장,1001460,관악신사시장,LL,다이나믹,111,52,6929922446.0,433460,138,50216829.31884058,3141.014492753623,427723,120,2203,25,53,170190594,11620
2020,2,R,전통시장,1001459,신원시장,HL,상권축소,115,53,10678127986.0,623819,221,48317321.20361991,2822.710407239819,1071132,42,441,4,50,164801389,11620
