기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_면적,아파트_평균_시가
2020,2,U,관광특구,1001495,잠실 관광특구,22,698,200,238,644,192,16,348,283,83,70,16,1156,89,527347107
2020,1,U,관광특구,1001495,잠실 관광특구,22,698,200,238,644,192,16,348,283,83,70,16,1156,89,527347107
2020,2,U,관광특구,1001494,종로?청계 관광특구,5,346,10,,,,77,279,,,,,,39,112097903
2020,1,U,관광특구,1001494,종로?청계 관광특구,5,346,10,,,,77,279,,,,,,39,112097903
2020,2,U,관광특구,1001493,동대문패션타운 관광특구,8,567,97,151,104,29,,472,159,22,,24,271,53,237967427
2020,1,U,관광특구,1001493,동대문패션타운 관광특구,8,567,97,151,104,29,,472,159,22,,24,271,53,237967427
2020,2,U,관광특구,1001491,이태원 관광특구,71,343,198,55,64,61,14,87,98,221,123,91,87,82,409473123
2020,1,U,관광특구,1001491,이태원 관광특구,71,343,198,55,64,61,14,87,98,221,123,91,87,82,409473123
2020,2,R,전통시장,1001490,길동복조리시장,37,410,387,,2,17,24,322,144,164,161,,1,62,183067389
2020,1,R,전통시장,1001490,길동복조리시장,37,410,387,,2,17,24,322,144,164,161,,1,62,183067389
2020,2,R,전통시장,1001489,둔촌역전통시장,8,42,76,9,2,1,5,30,25,66,3,1,,63,195748977
2020,1,R,전통시장,1001489,둔촌역전통시장,8,42,76,9,2,1,5,30,25,66,3,1,,63,195748977
2020,2,R,전통시장,1001488,성내골목시장,11,66,63,1,,,12,54,4,60,,,,44,148468044
2020,1,R,전통시장,1001488,성내골목시장,11,66,63,1,,,12,54,4,60,,,,44,148468044
2020,2,R,전통시장,1001486,동서울시장,1,4,,,,,,4,,,,,,45,176000000
2020,1,R,전통시장,1001486,동서울시장,1,4,,,,,,4,,,,,,45,176000000
2020,2,R,전통시장,1001485,고분다리골목시장,2,15,,,,,2,11,2,,,,,46,156107143
2020,1,R,전통시장,1001485,고분다리골목시장,2,15,,,,,2,11,2,,,,,46,156107143
2020,2,R,전통시장,1001484,양지골목시장,17,237,15,,18,,20,85,142,6,17,,,55,181813715
2020,1,R,전통시장,1001484,양지골목시장,17,237,15,,18,,20,85,142,6,17,,,55,181813715
2020,2,R,전통시장,1001483,암사종합시장,18,160,38,1,,,39,118,9,33,,,,46,143664435
2020,1,R,전통시장,1001483,암사종합시장,18,160,38,1,,,39,118,9,33,,,,46,143664435
2020,2,R,전통시장,1001482,고덕전통시장,1,6,,,,,,6,,,,,,41,155000000
2020,1,R,전통시장,1001482,고덕전통시장,1,6,,,,,,6,,,,,,41,155000000
2020,2,R,전통시장,1001481,명일골목시장,4,203,372,,,,4,20,,265,286,,,61,223508784
2020,1,R,전통시장,1001481,명일골목시장,4,203,372,,,,4,20,,265,286,,,61,223508784
2020,2,R,전통시장,1001480,새마을시장,44,410,19,3,,,15,231,142,39,5,,,40,209797797
2020,1,R,전통시장,1001480,새마을시장,44,410,19,3,,,15,231,142,39,5,,,40,209797797
2020,2,R,전통시장,1001479,석촌시장,13,146,64,1,,,19,75,34,23,,4,56,43,233575425
2020,1,R,전통시장,1001479,석촌시장,13,146,64,1,,,19,75,34,23,,4,56,43,233575425
2020,2,R,전통시장,1001478,방이시장,174,1256,185,13,5,19,107,611,655,73,9,11,12,49,205632867
2020,1,R,전통시장,1001478,방이시장,174,1256,185,13,5,19,107,611,655,73,9,11,12,49,205632867
2020,2,R,전통시장,1001477,마천시장,6,36,16,,,,3,23,26,,,,,57,195932239
2020,1,R,전통시장,1001477,마천시장,6,36,16,,,,3,23,26,,,,,57,195932239
2020,2,R,전통시장,1001476,풍납시장,20,81,31,,,,12,77,23,,,,,55,153329405
2020,1,R,전통시장,1001476,풍납시장,20,81,31,,,,12,77,23,,,,,55,153329405
2020,2,R,전통시장,1001474,도곡시장,1,76,8,,,,,,,,8,,76,67,639223684
2020,1,R,전통시장,1001474,도곡시장,1,76,8,,,,,,,,8,,76,67,639223684
2020,2,R,전통시장,1001472,논현종합시장,3,14,6,1,,8,,8,4,6,2,1,8,115,512515152
2020,1,R,전통시장,1001472,논현종합시장,3,14,6,1,,8,,8,4,6,2,1,8,115,512515152
2020,2,R,전통시장,1001471,영동전통시장,18,195,15,4,1,,13,104,77,9,10,,2,43,226552606
2020,1,R,전통시장,1001471,영동전통시장,18,195,15,4,1,,13,104,77,9,10,,2,43,226552606
2020,2,R,전통시장,1001470,강남시장_강남,1,19,37,22,16,,,,42,16,29,7,,95,359478723
2020,1,R,전통시장,1001470,강남시장_강남,1,19,37,22,16,,,,42,16,29,7,,95,359478723
2020,2,R,전통시장,1001469,양재시장,2,17,,,,,1,14,2,,,,,42,185226190
2020,1,R,전통시장,1001469,양재시장,2,17,,,,,1,14,2,,,,,42,185226190
2020,2,R,전통시장,1001468,남부종합시장,3,20,,,,,,4,7,5,4,,,53,299250000
2020,1,R,전통시장,1001468,남부종합시장,3,20,,,,,,4,7,5,4,,,53,299250000
2020,2,R,전통시장,1001466,미성동도깨비시장,3,21,21,8,,,1,25,24,,,,,66,179668193
2020,1,R,전통시장,1001466,미성동도깨비시장,3,21,21,8,,,1,25,24,,,,,66,179668193
2020,2,R,전통시장,1001463,신림중앙시장,3,23,36,,,,18,4,1,36,,,,42,184383476
2020,1,R,전통시장,1001463,신림중앙시장,3,23,36,,,,18,4,1,36,,,,42,184383476
2020,2,R,전통시장,1001462,강남골목시장,5,41,5,,,,4,36,6,,,,,46,145078889
2020,1,R,전통시장,1001462,강남골목시장,5,41,5,,,,4,36,6,,,,,46,145078889
2020,2,R,전통시장,1001460,관악신사시장,25,193,58,,,,24,162,64,1,,,,53,170190594
2020,1,R,전통시장,1001460,관악신사시장,25,193,58,,,,24,162,64,1,,,,53,170190594
2020,2,R,전통시장,1001459,신원시장,4,20,5,1,,,6,14,6,,,,,50,164801389
2020,1,R,전통시장,1001459,신원시장,4,20,5,1,,,6,14,6,,,,,50,164801389
2020,2,R,전통시장,1001458,인헌시장,10,70,40,,,,12,75,23,,,,,59,154501044
2020,1,R,전통시장,1001458,인헌시장,10,70,40,,,,12,75,23,,,,,59,154501044
2020,2,R,전통시장,1001457,봉천중앙시장,4,25,8,,,,1,20,12,,,,,51,177340278
2020,1,R,전통시장,1001457,봉천중앙시장,4,25,8,,,,1,20,12,,,,,51,177340278
2020,2,R,전통시장,1001454,봉천제일종합시장,2,15,,,,,,14,1,,,,,30,168357143
2020,1,R,전통시장,1001454,봉천제일종합시장,2,15,,,,,,14,1,,,,,30,168357143
2020,2,R,전통시장,1001453,낙성대시장,6,55,3,,,,18,37,3,,,,,37,123503739
2020,1,R,전통시장,1001453,낙성대시장,6,55,3,,,,18,37,3,,,,,37,123503739
2020,2,R,전통시장,1001452,중부시장,4,52,7,,,,2,44,7,5,1,,,51,187520635
2020,1,R,전통시장,1001452,중부시장,4,52,7,,,,2,44,7,5,1,,,51,187520635
2020,2,R,전통시장,1001450,남성역골목시장,4,14,10,1,,,2,13,9,1,,,,57,178875000
2020,1,R,전통시장,1001450,남성역골목시장,4,14,10,1,,,2,13,9,1,,,,57,178875000
2020,2,R,전통시장,1001449,남성사계시장,1,8,,,,,2,5,1,,,,,29,137875000
2020,1,R,전통시장,1001449,남성사계시장,1,8,,,,,2,5,1,,,,,29,137875000
2020,2,R,전통시장,1001448,흑석시장,2,4,117,84,,,,6,33,,28,135,3,92,416694996
2020,1,R,전통시장,1001448,흑석시장,2,4,117,84,,,,6,33,,28,135,3,92,416694996
2020,2,R,전통시장,1001447,상도4동도깨비골목시장,17,82,29,,,,20,49,42,,,,,54,155765640
2020,1,R,전통시장,1001447,상도4동도깨비골목시장,17,82,29,,,,20,49,42,,,,,54,155765640
2020,2,R,전통시장,1001446,성대시장,2,12,2,,,,,12,1,1,,,,34,160357143
2020,1,R,전통시장,1001446,성대시장,2,12,2,,,,,12,1,1,,,,34,160357143
